Date,Region,Service Category,Index Value
2020-10-01,Quebec,"Architectural, engineering and related services price index",112.8
2020-10-01,Quebec,Architectural and landscape architectural services,100.5
2020-10-01,Quebec,Engineering services,113.5
2020-10-01,Quebec,Surveying and mapping services,101.3
2020-10-01,Ontario,"Architectural, engineering and related services price index",104.3
2020-10-01,Ontario,Architectural and landscape architectural services,104.3
2020-10-01,Ontario,Engineering services,104.4
2020-10-01,Ontario,Surveying and mapping services,101.6
2020-10-01,Prairie Region,"Architectural, engineering and related services price index",102.5
2020-10-01,Prairie Region,Architectural and landscape architectural services,102.6
2020-10-01,Prairie Region,Engineering services,102.6
2020-10-01,Prairie Region,Surveying and mapping services,100.6
2020-10-01,British Columbia and territories,"Architectural, engineering and related services price index",112.1
2020-10-01,British Columbia and territories,Architectural and landscape architectural services,111.7
2020-10-01,British Columbia and territories,Engineering services,112.2
2020-10-01,British Columbia and territories,Surveying and mapping services,107.2
2021-01-01,Canada,"Architectural, engineering and related services price index",105.9
2021-01-01,Canada,Architectural and landscape architectural services,106.1
2021-01-01,Canada,Engineering services,106.0
2021-01-01,Canada,Surveying and mapping services,102.5
2021-01-01,Atlantic Region,"Architectural, engineering and related services price index",102.9
2021-01-01,Atlantic Region,Architectural and landscape architectural services,116.7
2021-01-01,Atlantic Region,Engineering services,102.1
2021-01-01,Atlantic Region,Surveying and mapping services,103.9
2021-01-01,Quebec,"Architectural, engineering and related services price index",111.8
2021-01-01,Quebec,Architectural and landscape architectural services,102.8
2021-01-01,Quebec,Engineering services,112.3
2021-01-01,Quebec,Surveying and mapping services,101.6
2021-01-01,Ontario,"Architectural, engineering and related services price index",105.8
2021-01-01,Ontario,Architectural and landscape architectural services,104.9
2021-01-01,Ontario,Engineering services,106.0
2021-01-01,Ontario,Surveying and mapping services,102.5
2021-01-01,Prairie Region,"Architectural, engineering and related services price index",103.4
2021-01-01,Prairie Region,Architectural and landscape architectural services,104.4
2021-01-01,Prairie Region,Engineering services,103.4
2021-01-01,Prairie Region,Surveying and mapping services,102.0
2021-01-01,British Columbia and territories,"Architectural, engineering and related services price index",113.2
2021-01-01,British Columbia and territories,Architectural and landscape architectural services,112.5
2021-01-01,British Columbia and territories,Engineering services,113.4
2021-01-01,British Columbia and territories,Surveying and mapping services,107.5
2021-04-01,Canada,"Architectural, engineering and related services price index",106.0
2021-04-01,Canada,Architectural and landscape architectural services,106.0
2021-04-01,Canada,Engineering services,106.1
2021-04-01,Canada,Surveying and mapping services,102.4
2021-04-01,Atlantic Region,"Architectural, engineering and related services price index",102.8
2021-04-01,Atlantic Region,Architectural and landscape architectural services,116.7
2021-04-01,Atlantic Region,Engineering services,102.1
2021-04-01,Atlantic Region,Surveying and mapping services,101.9
2021-04-01,Quebec,"Architectural, engineering and related services price index",112.8
2021-04-01,Quebec,Architectural and landscape architectural services,102.3
2021-04-01,Quebec,Engineering services,113.4
2021-04-01,Quebec,Surveying and mapping services,102.2
2021-04-01,Ontario,"Architectural, engineering and related services price index",106.0
2021-04-01,Ontario,Architectural and landscape architectural services,105.1
2021-04-01,Ontario,Engineering services,106.2
2021-04-01,Ontario,Surveying and mapping services,102.4
2021-04-01,Prairie Region,"Architectural, engineering and related services price index",103.1
2021-04-01,Prairie Region,Architectural and landscape architectural services,103.6
2021-04-01,Prairie Region,Engineering services,103.2
2021-04-01,Prairie Region,Surveying and mapping services,102.0
2021-04-01,British Columbia and territories,"Architectural, engineering and related services price index",113.4
2021-04-01,British Columbia and territories,Architectural and landscape architectural services,112.7
2021-04-01,British Columbia and territories,Engineering services,113.6
2021-04-01,British Columbia and territories,Surveying and mapping services,108.1
2021-07-01,Canada,"Architectural, engineering and related services price index",106.3
2021-07-01,Canada,Architectural and landscape architectural services,106.8
2021-07-01,Canada,Engineering services,106.4
2021-07-01,Canada,Surveying and mapping services,102.4
2021-07-01,Atlantic Region,"Architectural, engineering and related services price index",102.9
2021-07-01,Atlantic Region,Architectural and landscape architectural services,119.4
2021-07-01,Atlantic Region,Engineering services,102.1
2021-07-01,Atlantic Region,Surveying and mapping services,101.9
2021-07-01,Quebec,"Architectural, engineering and related services price index",113.0
2021-07-01,Quebec,Architectural and landscape architectural services,103.7
2021-07-01,Quebec,Engineering services,113.5
2021-07-01,Quebec,Surveying and mapping services,102.2
2021-07-01,Ontario,"Architectural, engineering and related services price index",106.5
2021-07-01,Ontario,Architectural and landscape architectural services,106.4
2021-07-01,Ontario,Engineering services,106.7
2021-07-01,Ontario,Surveying and mapping services,102.4
2021-07-01,Prairie Region,"Architectural, engineering and related services price index",103.5
2021-07-01,Prairie Region,Architectural and landscape architectural services,103.6
2021-07-01,Prairie Region,Engineering services,103.5
2021-07-01,Prairie Region,Surveying and mapping services,101.9
2021-07-01,British Columbia and territories,"Architectural, engineering and related services price index",113.2
2021-07-01,British Columbia and territories,Architectural and landscape architectural services,112.4
2021-07-01,British Columbia and territories,Engineering services,113.3
2021-07-01,British Columbia and territories,Surveying and mapping services,109.2
2021-10-01,Canada,"Architectural, engineering and related services price index",107.0
2021-10-01,Canada,Architectural and landscape architectural services,107.7
2021-10-01,Canada,Engineering services,107.1
2021-10-01,Canada,Surveying and mapping services,102.2
2021-10-01,Atlantic Region,"Architectural, engineering and related services price index",103.5
2021-10-01,Atlantic Region,Architectural and landscape architectural services,119.4
2021-10-01,Atlantic Region,Engineering services,102.8
2021-10-01,Atlantic Region,Surveying and mapping services,101.9
2021-10-01,Quebec,"Architectural, engineering and related services price index",115.9
2021-10-01,Quebec,Architectural and landscape architectural services,106.0
2021-10-01,Quebec,Engineering services,116.5
2021-10-01,Quebec,Surveying and mapping services,102.8
2021-10-01,Ontario,"Architectural, engineering and related services price index",107.6
2021-10-01,Ontario,Architectural and landscape architectural services,107.1
2021-10-01,Ontario,Engineering services,107.8
2021-10-01,Ontario,Surveying and mapping services,102.5
2021-10-01,Prairie Region,"Architectural, engineering and related services price index",103.5
2021-10-01,Prairie Region,Architectural and landscape architectural services,103.6
2021-10-01,Prairie Region,Engineering services,103.6
2021-10-01,Prairie Region,Surveying and mapping services,101.5
2021-10-01,British Columbia and territories,"Architectural, engineering and related services price index",114.1
2021-10-01,British Columbia and territories,Architectural and landscape architectural services,114.8
2021-10-01,British Columbia and territories,Engineering services,114.1
2021-10-01,British Columbia and territories,Surveying and mapping services,111.2
2022-01-01,Canada,"Architectural, engineering and related services price index",108.9
2022-01-01,Canada,Architectural and landscape architectural services,108.6
2022-01-01,Canada,Engineering services,109.1
2022-01-01,Canada,Surveying and mapping services,103.3
2022-01-01,Atlantic Region,"Architectural, engineering and related services price index",106.0
2022-01-01,Atlantic Region,Architectural and landscape architectural services,119.9
2022-01-01,Atlantic Region,Engineering services,105.4
2022-01-01,Atlantic Region,Surveying and mapping services,102.8
2022-01-01,Quebec,"Architectural, engineering and related services price index",121.3
2022-01-01,Quebec,Architectural and landscape architectural services,108.9
2022-01-01,Quebec,Engineering services,122.0
2022-01-01,Quebec,Surveying and mapping services,106.1
2022-01-01,Ontario,"Architectural, engineering and related services price index",109.5
2022-01-01,Ontario,Architectural and landscape architectural services,107.7
2022-01-01,Ontario,Engineering services,109.9
2022-01-01,Ontario,Surveying and mapping services,104.4
2022-01-01,Prairie Region,"Architectural, engineering and related services price index",104.7
2022-01-01,Prairie Region,Architectural and landscape architectural services,104.6
2022-01-01,Prairie Region,Engineering services,104.8
2022-01-01,Prairie Region,Surveying and mapping services,102.4
2022-01-01,British Columbia and territories,"Architectural, engineering and related services price index",115.7
2022-01-01,British Columbia and territories,Architectural and landscape architectural services,115.4
2022-01-01,British Columbia and territories,Engineering services,115.8
2022-01-01,British Columbia and territories,Surveying and mapping services,111.5
2022-04-01,Canada,"Architectural, engineering and related services price index",110.3
2022-04-01,Canada,Architectural and landscape architectural services,109.3
2022-04-01,Canada,Engineering services,110.6
2022-04-01,Canada,Surveying and mapping services,103.4
2022-04-01,Atlantic Region,"Architectural, engineering and related services price index",108.2
2022-04-01,Atlantic Region,Architectural and landscape architectural services,121.6
2022-04-01,Atlantic Region,Engineering services,107.8
